pace,shooting,passing,dribbling,defending,physic,player_positions,Role
85.0,92.0,91.0,95.0,34.0,65.0,"RW, ST, CF",Forward
78.0,92.0,79.0,86.0,44.0,82.0,ST,Forward
87.0,94.0,80.0,88.0,34.0,75.0,"ST, LW",Forward
91.0,83.0,86.0,94.0,37.0,63.0,"LW, CAM",Midfielder
76.0,86.0,93.0,88.0,64.0,78.0,"CM, CAM",Midfielder
,,,,,,GK,Goalkeeper
97.0,88.0,80.0,92.0,36.0,77.0,"ST, LW",Forward
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
70.0,91.0,83.0,83.0,47.0,83.0,ST,Forward
78.0,66.0,75.0,82.0,87.0,83.0,"CDM, CM",Midfielder
76.0,86.0,81.0,87.0,39.0,77.0,"CF, ST",Forward
,,,,,,GK,Goalkeeper
88.0,87.0,82.0,86.0,43.0,69.0,"LM, CF, LW",Midfielder
65.0,73.0,76.0,73.0,86.0,90.0,CDM,Midfielder
78.0,60.0,71.0,72.0,91.0,84.0,CB,Defender
91.0,83.0,80.0,89.0,44.0,77.0,LW,Forward
90.0,87.0,81.0,90.0,45.0,75.0,RW,Forward
,,,,,,GK,Goalkeeper
70.0,73.0,86.0,84.0,83.0,79.0,"CDM, RB",Defender
,,,,,,GK,Goalkeeper
,,,,,,GK,Goalkeeper
70.0,70.0,76.0,74.0,88.0,84.0,CB,Defender
72.0,90.0,82.0,84.0,47.0,83.0,ST,Forward
53.0,81.0,91.0,81.0,71.0,68.0,CM,Midfielder
84.0,87.0,74.0,78.0,39.0,83.0,ST,Forward
,,,,,,GK,Goalkeeper
91.0,82.0,79.0,87.0,45.0,66.0,"LW, RW",Forward
75.0,86.0,89.0,84.0,70.0,77.0,CAM,Midfielder
89.0,91.0,65.0,80.0,45.0,88.0,ST,Forward
71.0,89.0,75.0,87.0,33.0,69.0,ST,Forward
,,,,,,GK,Goalkeeper
73.0,76.0,89.0,88.0,72.0,66.0,CM,Midfielder
83.0,81.0,86.0,87.0,48.0,69.0,"RW, LW",Forward
,,,,,,GK,Goalkeeper
67.0,84.0,83.0,80.0,56.0,71.0,"CAM, RM, RW",Midfielder
86.0,87.0,67.0,81.0,39.0,77.0,ST,Forward
71.0,81.0,86.0,86.0,65.0,83.0,"CM, LM",Midfielder
64.0,61.0,87.0,91.0,79.0,67.0,"CM, CAM",Midfielder
81.0,53.0,75.0,74.0,89.0,81.0,"CB, CDM",Defender
81.0,82.0,82.0,84.0,81.0,86.0,"CM, CDM",Midfielder
84.0,86.0,86.0,90.0,40.0,60.0,"CF, CAM",Midfielder
84.0,61.0,81.0,81.0,82.0,76.0,LB,Defender
81.0,69.0,85.0,88.0,77.0,78.0,"CM, CDM, CB",Defender
79.0,68.0,88.0,80.0,80.0,72.0,RB,Defender
81.0,76.0,82.0,91.0,36.0,65.0,"RM, CF, LM",Midfielder
61.0,38.0,65.0,68.0,88.0,88.0,CB,Defender
68.0,46.0,60.0,59.0,89.0,85.0,CB,Defender
,,,,,,GK,Goalkeeper
56.0,59.0,77.0,73.0,89.0,77.0,CB,Defender
86.0,69.0,81.0,83.0,77.0,71.0,"LB, LM",Defender
63.0,72.0,86.0,90.0,70.0,66.0,"CM, CDM",Midfielder
42.0,62.0,79.0,80.0,82.0,75.0,"CDM, CM",Midfielder
50.0,83.0,90.0,81.0,71.0,69.0,CM,Midfielder
,,,,,,GK,Goalkeeper
87.0,78.0,85.0,90.0,36.0,45.0,"LW, CF",Forward
81.0,28.0,51.0,65.0,87.0,85.0,CB,Defender
82.0,49.0,64.0,65.0,87.0,82.0,CB,Defender
81.0,79.0,81.0,90.0,38.0,60.0,"RW, RM",Midfielder
79.0,86.0,77.0,84.0,46.0,73.0,"ST, RM, RW",Midfielder
85.0,84.0,70.0,80.0,52.0,73.0,ST,Forward
67.0,69.0,78.0,78.0,85.0,83.0,"CDM, CB",Defender
85.0,71.0,83.0,84.0,80.0,72.0,"RB, LB",Defender
63.0,50.0,72.0,69.0,86.0,80.0,CB,Defender
93.0,76.0,79.0,88.0,30.0,60.0,"LM, RM, LW",Midfielder
80.0,76.0,83.0,91.0,54.0,67.0,"CAM, CM, RW",Midfielder
88.0,80.0,81.0,82.0,78.0,82.0,"CM, RM, ST",Midfielder
61.0,70.0,77.0,78.0,82.0,82.0,CDM,Midfielder
80.0,41.0,53.0,69.0,87.0,84.0,CB,Defender
87.0,78.0,84.0,87.0,39.0,55.0,"CAM, CF, CM",Midfielder
,,,,,,GK,Goalkeeper
53.0,54.0,72.0,72.0,86.0,78.0,CB,Defender
63.0,74.0,87.0,87.0,52.0,53.0,"CAM, CM",Midfielder
,,,,,,GK,Goalkeeper
66.0,86.0,70.0,76.0,51.0,79.0,ST,Forward
84.0,80.0,82.0,88.0,35.0,63.0,LW,Forward
64.0,58.0,69.0,72.0,86.0,80.0,CB,Defender
,,,,,,GK,Goalkeeper
65.0,80.0,85.0,86.0,73.0,72.0,"CM, CDM",Midfielder
73.0,84.0,84.0,85.0,47.0,63.0,"CAM, CF",Midfielder
92.0,63.0,76.0,78.0,80.0,82.0,RB,Defender
89.0,85.0,75.0,80.0,35.0,69.0,"ST, LW, LM",Midfielder
70.0,75.0,85.0,81.0,79.0,80.0,"CM, CDM",Midfielder
80.0,84.0,84.0,87.0,52.0,72.0,"ST, LW, RW",Forward
72.0,41.0,64.0,70.0,87.0,79.0,CB,Defender
77.0,78.0,79.0,89.0,59.0,78.0,CF,Forward
82.0,83.0,82.0,84.0,30.0,79.0,"CF, LW, CAM",Midfielder
80.0,54.0,78.0,80.0,81.0,80.0,RB,Defender
55.0,67.0,86.0,81.0,73.0,73.0,"CM, CDM",Midfielder
83.0,84.0,79.0,86.0,43.0,69.0,"RM, LM, RW",Midfielder
68.0,79.0,80.0,81.0,79.0,86.0,"CM, CDM, CAM",Midfielder
67.0,62.0,69.0,74.0,87.0,83.0,"CDM, CM",Midfielder
82.0,82.0,81.0,84.0,41.0,63.0,"LW, RW",Forward
84.0,81.0,72.0,85.0,48.0,84.0,ST,Forward
90.0,84.0,79.0,84.0,43.0,77.0,"LM, ST",Midfielder
95.0,71.0,78.0,83.0,76.0,78.0,"RB, RWB",Defender
73.0,59.0,60.0,69.0,84.0,87.0,CB,Defender
65.0,87.0,78.0,79.0,34.0,77.0,ST,Forward
87.0,69.0,81.0,83.0,79.0,58.0,"RB, RM",Defender
58.0,61.0,71.0,68.0,85.0,78.0,CB,Defender
85.0,82.0,80.0,88.0,34.0,50.0,"CF, ST, CAM",Midfielder
77.0,75.0,80.0,86.0,79.0,79.0,"CM, CDM",Midfielder
66.0,74.0,83.0,79.0,78.0,81.0,"CDM, CM",Midfielder
66.0,62.0,75.0,74.0,83.0,82.0,"CDM, CM",Midfielder
73.0,63.0,82.0,77.0,80.0,72.0,"RB, RWB, RM",Defender
82.0,85.0,79.0,86.0,35.0,63.0,"ST, RW",Forward
,,,,,,GK,Goalkeeper
77.0,70.0,81.0,80.0,83.0,76.0,"CB, LB",Defender
60.0,76.0,86.0,84.0,57.0,59.0,"CAM, CM, CF",Midfielder
69.0,81.0,85.0,85.0,43.0,76.0,"LW, CF, CAM",Midfielder
82.0,84.0,77.0,87.0,39.0,70.0,ST,Forward
79.0,69.0,80.0,80.0,80.0,76.0,LB,Defender
75.0,86.0,84.0,86.0,40.0,67.0,"CF, ST",Forward
,,,,,,GK,Goalkeeper
50.0,55.0,69.0,70.0,85.0,87.0,CB,Defender
64.0,35.0,57.0,58.0,87.0,76.0,CB,Defender
78.0,84.0,81.0,80.0,67.0,78.0,"CM, CDM, CAM",Midfielder
79.0,54.0,79.0,80.0,81.0,80.0,LB,Defender
80.0,76.0,83.0,88.0,46.0,64.0,"LW, LM, CAM",Midfielder
62.0,58.0,72.0,66.0,86.0,79.0,CB,Defender
61.0,41.0,58.0,62.0,85.0,84.0,CB,Defender
88.0,81.0,78.0,85.0,45.0,67.0,"LM, ST",Midfielder
88.0,77.0,82.0,83.0,68.0,80.0,"LM, LWB",Defender
78.0,76.0,87.0,83.0,50.0,65.0,"RW, CAM",Midfielder
75.0,77.0,85.0,88.0,76.0,58.0,"LB, LM",Defender
83.0,67.0,78.0,82.0,80.0,75.0,"RB, RM",Defender
91.0,81.0,70.0,82.0,35.0,70.0,"ST, LW",Forward
,,,,,,GK,Goalkeeper
69.0,74.0,80.0,79.0,79.0,78.0,"CDM, CM",Midfielder
63.0,79.0,86.0,80.0,71.0,72.0,"CM, CDM",Midfielder
69.0,45.0,57.0,59.0,86.0,80.0,CB,Defender
83.0,83.0,82.0,87.0,38.0,79.0,"CAM, RM, ST",Midfielder
90.0,81.0,79.0,85.0,38.0,68.0,"RM, LM",Midfielder
78.0,71.0,79.0,86.0,75.0,78.0,CM,Midfielder
76.0,74.0,82.0,87.0,79.0,82.0,"LB, LM",Defender
74.0,84.0,69.0,83.0,45.0,77.0,ST,Forward
78.0,74.0,74.0,80.0,82.0,87.0,"CDM, CM",Midfielder
93.0,71.0,76.0,81.0,77.0,82.0,LB,Defender
82.0,78.0,79.0,84.0,45.0,66.0,"CAM, CF, CM",Midfielder
84.0,78.0,80.0,87.0,56.0,57.0,"CAM, LW, CM",Midfielder
59.0,72.0,75.0,78.0,84.0,75.0,"CDM, CB",Defender
80.0,82.0,78.0,84.0,31.0,67.0,"RW, LW, CAM",Midfielder
61.0,72.0,81.0,79.0,82.0,79.0,"CDM, CM",Midfielder
,,,,,,GK,Goalkeeper
67.0,55.0,64.0,59.0,85.0,78.0,CB,Defender
66.0,83.0,72.0,78.0,45.0,76.0,ST,Forward
72.0,50.0,73.0,67.0,84.0,79.0,CB,Defender
58.0,55.0,70.0,67.0,86.0,77.0,CB,Defender
66.0,55.0,76.0,72.0,84.0,76.0,"CB, RWB",Defender
72.0,81.0,77.0,81.0,80.0,85.0,"CM, CAM, CDM",Midfielder
81.0,76.0,82.0,87.0,51.0,61.0,"CAM, RM, LM",Midfielder
83.0,80.0,85.0,82.0,67.0,71.0,"CM, CDM, LM",Midfielder
,,,,,,GK,Goalkeeper
81.0,65.0,77.0,79.0,78.0,79.0,"LB, LM",Defender
,,,,,,GK,Goalkeeper
81.0,25.0,44.0,62.0,85.0,81.0,CB,Defender
85.0,80.0,79.0,83.0,56.0,74.0,"CF, RM, RW",Midfielder
90.0,75.0,77.0,87.0,76.0,72.0,"RB, RM",Defender
58.0,46.0,68.0,68.0,85.0,78.0,CB,Defender
68.0,49.0,55.0,63.0,84.0,87.0,CB,Defender
63.0,50.0,62.0,64.0,86.0,83.0,CB,Defender
72.0,71.0,77.0,82.0,80.0,79.0,"CDM, CM",Midfielder
73.0,85.0,79.0,80.0,42.0,86.0,"ST, CF",Forward
82.0,80.0,72.0,81.0,31.0,77.0,ST,Forward
69.0,83.0,65.0,77.0,36.0,69.0,ST,Forward
92.0,64.0,73.0,80.0,78.0,71.0,"LWB, LB, LM",Defender
70.0,51.0,71.0,74.0,84.0,78.0,CB,Defender
,,,,,,GK,Goalkeeper
72.0,82.0,76.0,81.0,47.0,82.0,ST,Forward
,,,,,,GK,Goalkeeper
75.0,43.0,68.0,64.0,84.0,84.0,CB,Defender
81.0,84.0,78.0,83.0,63.0,84.0,"LW, RW",Forward
70.0,69.0,83.0,88.0,69.0,70.0,"CM, CDM",Midfielder
69.0,71.0,82.0,81.0,80.0,84.0,"CM, CDM",Midfielder
83.0,61.0,77.0,80.0,79.0,73.0,"LB, LWB, LM",Defender
82.0,76.0,82.0,86.0,59.0,63.0,"LM, CM, RM",Midfielder
60.0,71.0,76.0,76.0,81.0,82.0,"CDM, CM",Midfielder
85.0,83.0,78.0,87.0,49.0,74.0,"ST, RM",Midfielder
80.0,81.0,61.0,78.0,35.0,84.0,ST,Forward
71.0,86.0,76.0,86.0,30.0,71.0,"ST, CAM",Midfielder
78.0,71.0,82.0,84.0,76.0,70.0,"LWB, LM",Defender
77.0,54.0,68.0,71.0,84.0,79.0,"LB, CB",Defender
82.0,80.0,81.0,83.0,43.0,62.0,"RW, LW",Forward
